"All Cancer Sites Combined"
"SEER Incidence Rates by Age at Diagnosis, 2012-2016"

Sex,Race/Ethnicity,"Rate Type",Age,"Rate per 100,000","Rate Standard Error","Rate Lower Confidence Interval","Rate Upper Confidence Interval"
"Both Sexes","All Races (includes Hispanic)","Observed Rates",<1,24.4729,0.5784,23.3522,25.6335
"Both Sexes","All Races (includes Hispanic)","Observed Rates",1-4,21.6854,0.2714,21.1566,22.2240
"Both Sexes","All Races (includes Hispanic)","Observed Rates",5-9,12.9938,0.1863,12.6312,13.3641
"Both Sexes","All Races (includes Hispanic)","Observed Rates",10-14,15.1822,0.2006,14.7915,15.5806
"Both Sexes","All Races (includes Hispanic)","Observed Rates",15-19,24.1861,0.2489,23.7007,24.6789
"Both Sexes","All Races (includes Hispanic)","Observed Rates",20-24,37.9942,0.3000,37.4085,38.5868
"Both Sexes","All Races (includes Hispanic)","Observed Rates",25-29,60.9575,0.3810,60.2130,61.7090
"Both Sexes","All Races (includes Hispanic)","Observed Rates",30-34,96.4731,0.4886,95.5179,97.4354
"Both Sexes","All Races (includes Hispanic)","Observed Rates",35-39,143.0097,0.6171,141.8028,144.2243
"Both Sexes","All Races (includes Hispanic)","Observed Rates",40-44,225.7883,0.7690,224.2835,227.3006
"Both Sexes","All Races (includes Hispanic)","Observed Rates",45-49,353.7279,0.9468,351.8746,355.5886
"Both Sexes","All Races (includes Hispanic)","Observed Rates",50-54,564.7074,1.1727,562.4113,567.0105
"Both Sexes","All Races (includes Hispanic)","Observed Rates",55-59,822.7651,1.4563,819.9133,825.6243
"Both Sexes","All Races (includes Hispanic)","Observed Rates",60-64,1160.3856,1.8722,1156.7191,1164.0608
"Both Sexes","All Races (includes Hispanic)","Observed Rates",65-69,1599.0978,2.4399,1594.3192,1603.8873
"Both Sexes","All Races (includes Hispanic)","Observed Rates",70-74,1929.3336,3.1921,1923.0823,1935.6002
"Both Sexes","All Races (includes Hispanic)","Observed Rates",75-79,2172.2836,3.9924,2164.4656,2180.1229
"Both Sexes","All Races (includes Hispanic)","Observed Rates",80-84,2267.5518,4.7296,2258.2913,2276.8409
"Both Sexes","All Races (includes Hispanic)","Observed Rates",85+,2083.8350,4.3207,2075.3751,2092.3208
"Both Sexes","All Races (includes Hispanic)","Delay-adjusted Rates",<1,24.7718,0.5855,23.6373,25.9464
"Both Sexes","All Races (includes Hispanic)","Delay-adjusted Rates",1-4,21.9587,0.2748,21.4233,22.5040
"Both Sexes","All Races (includes Hispanic)","Delay-adjusted Rates",5-9,13.1594,0.1887,12.7923,13.5345
"Both Sexes","All Races (includes Hispanic)","Delay-adjusted Rates",10-14,15.3792,0.2032,14.9834,15.7827
"Both Sexes","All Races (includes Hispanic)","Delay-adjusted Rates",15-19,24.4939,0.2521,24.0024,24.9930
"Both Sexes","All Races (includes Hispanic)","Delay-adjusted Rates",20-24,38.4702,0.3037,37.8772,39.0702
