"Breast Cancer"
"SEER Incidence Rates by Age at Diagnosis, 2012-2016"

Sex,Race/Ethnicity,"Rate Type",Age,"Rate per 100,000","Rate Standard Error","Rate Lower Confidence Interval","Rate Upper Confidence Interval"
Female,"All Races (includes Hispanic)","Observed Rates",<1,-,-,-,-
Female,"All Races (includes Hispanic)","Observed Rates",1-4,-,-,-,-
Female,"All Races (includes Hispanic)","Observed Rates",5-9,-,-,-,-
Female,"All Races (includes Hispanic)","Observed Rates",10-14,-,-,-,-
Female,"All Races (includes Hispanic)","Observed Rates",15-19,0.1519,0.0282,0.1018,0.2182
Female,"All Races (includes Hispanic)","Observed Rates",20-24,1.6335,0.0891,1.4635,1.8178
Female,"All Races (includes Hispanic)","Observed Rates",25-29,9.9133,0.2192,9.4884,10.3524
Female,"All Races (includes Hispanic)","Observed Rates",30-34,29.0025,0.3798,28.2629,29.7566
Female,"All Races (includes Hispanic)","Observed Rates",35-39,63.5717,0.5807,62.4386,64.7202
Female,"All Races (includes Hispanic)","Observed Rates",40-44,128.4399,0.8162,126.8451,130.0497
Female,"All Races (includes Hispanic)","Observed Rates",45-49,194.7281,0.9875,192.7973,196.6733
Female,"All Races (includes Hispanic)","Observed Rates",50-54,233.5976,1.0565,231.5315,235.6776
Female,"All Races (includes Hispanic)","Observed Rates",55-59,266.8486,1.1558,264.5879,269.1238
Female,"All Races (includes Hispanic)","Observed Rates",60-64,340.5669,1.4027,337.8230,343.3274
Female,"All Races (includes Hispanic)","Observed Rates",65-69,424.4824,1.7256,421.1071,427.8781
Female,"All Races (includes Hispanic)","Observed Rates",70-74,464.5972,2.1231,460.4452,468.7773
Female,"All Races (includes Hispanic)","Observed Rates",75-79,457.1224,2.4412,452.3502,461.9324
Female,"All Races (includes Hispanic)","Observed Rates",80-84,414.1006,2.6285,408.9647,419.2849
Female,"All Races (includes Hispanic)","Observed Rates",85+,331.8718,2.1238,327.7222,336.0608
Female,"All Races (includes Hispanic)","Delay-adjusted Rates",<1,-,-,-,-
Female,"All Races (includes Hispanic)","Delay-adjusted Rates",1-4,-,-,-,-
Female,"All Races (includes Hispanic)","Delay-adjusted Rates",5-9,-,-,-,-
Female,"All Races (includes Hispanic)","Delay-adjusted Rates",10-14,-,-,-,-
Female,"All Races (includes Hispanic)","Delay-adjusted Rates",15-19,0.1534,0.0285,0.1027,0.2202
Female,"All Races (includes Hispanic)","Delay-adjusted Rates",20-24,1.6472,0.0899,1.4757,1.8330
Female,"All Races (includes Hispanic)","Delay-adjusted Rates",25-29,9.9938,0.2209,9.5654,10.4364
Female,"All Races (includes Hispanic)","Delay-adjusted Rates",30-34,29.2429,0.3829,28.4972,30.0032
Female,"All Races (includes Hispanic)","Delay-adjusted Rates",35-39,64.0943,0.5855,62.9519,65.2522
Female,"All Races (includes Hispanic)","Delay-adjusted Rates",40-44,129.4809,0.8228,127.8731,131.1037
Female,"All Races (includes Hispanic)","Delay-adjusted Rates",45-49,196.3003,0.9955,194.3539,198.2613
Female,"All Races (includes Hispanic)","Delay-adjusted Rates",50-54,235.4774,1.0650,233.3946,237.5742
Female,"All Races (includes Hispanic)","Delay-adjusted Rates",55-59,269.0316,1.1653,266.7524,271.3254
Female,"All Races (includes Hispanic)","Delay-adjusted Rates",60-64,343.3475,1.4142,340.5812,346.1306
Female,"All Races (includes Hispanic)","Delay-adjusted Rates",65-69,427.7553,1.7389,424.3538,431.1772
Female,"All Races (includes Hispanic)","Delay-adjusted Rates",70-74,468.2216,2.1397,464.0372,472.4343
Female,"All Races (includes Hispanic)","Delay-adjusted Rates",75-79,460.6320,2.4599,455.8231,465.4789
Female,"All Races (includes Hispanic)","Delay-adjusted Rates",80-84,417.2139,2.6483,412.0393,422.4372
Female,"All Races (includes Hispanic)","Delay-adjusted Rates",85+,334.3674,2.1398,330.1866,338.5879
Female,"American Indian / Alaska Native (includes Hispanic)","Observed Rates",<1,-,-,-,-
Female,"American Indian / Alaska Native (includes Hispanic)","Observed Rates",1-4,-,-,-,-
Female,"American Indian / Alaska Native (includes Hispanic)","Observed Rates",5-9,-,-,-,-
Female,"American Indian / Alaska Native (includes Hispanic)","Observed Rates",10-14,-,-,-,-
Female,"American Indian / Alaska Native (includes Hispanic)","Observed Rates",15-19,-,-,-,-
Female,"American Indian / Alaska Native (includes Hispanic)","Observed Rates",20-24,-,-,-,-
Female,"American Indian / Alaska Native (includes Hispanic)","Observed Rates",25-29,-,-,-,-
Female,"American Indian / Alaska Native (includes Hispanic)","Observed Rates",30-34,19.2630,3.3533,13.2598,27.0524
Female,"American Indian / Alaska Native (includes Hispanic)","Observed Rates",35-39,42.5295,5.2751,32.8234,54.2074
Female,"American Indian / Alaska Native (includes Hispanic)","Observed Rates",40-44,63.1158,6.6530,50.7526,77.5801
Female,"American Indian / Alaska Native (includes Hispanic)","Observed Rates",45-49,96.2052,8.2194,80.7706,113.7302
Female,"American Indian / Alaska Native (includes Hispanic)","Observed Rates",50-54,133.2632,9.5432,115.2143,153.3374
Female,"American Indian / Alaska Native (includes Hispanic)","Observed Rates",55-59,174.3854,11.5999,152.3894,198.6646
Female,"American Indian / Alaska Native (includes Hispanic)","Observed Rates",60-64,246.6443,15.5680,217.0726,279.1203
Female,"American Indian / Alaska Native (includes Hispanic)","Observed Rates",65-69,279.9378,19.4570,243.0993,320.7815
Female,"American Indian / Alaska Native (includes Hispanic)","Observed Rates",70-74,321.2916,25.4003,273.4362,375.1126
Female,"American Indian / Alaska Native (includes Hispanic)","Observed Rates",75-79,291.5112,29.1511,237.1851,354.5557
Female,"American Indian / Alaska Native (includes Hispanic)","Observed Rates",80-84,255.3535,33.8224,193.4022,330.8400
Female,"American Indian / Alaska Native (includes Hispanic)","Observed Rates",85+,235.6109,33.6587,174.3062,311.4901
Female,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted Rates",<1,-,-,-,-
Female,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted Rates",1-4,-,-,-,-
Female,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted Rates",5-9,-,-,-,-
Female,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted Rates",10-14,-,-,-,-
Female,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted Rates",15-19,-,-,-,-
Female,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted Rates",20-24,-,-,-,-
Female,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted Rates",25-29,-,-,-,-
Female,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted Rates",30-34,20.9947,3.6589,14.4450,29.4230
Female,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted Rates",35-39,46.1491,5.7294,35.6077,58.7630
Female,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted Rates",40-44,68.6154,7.2389,55.1641,84.2795
Female,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted Rates",45-49,104.2554,8.9142,87.5166,123.1933
Female,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted Rates",50-54,143.7506,10.3032,124.2650,165.3621
Female,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted Rates",55-59,189.8921,12.6435,165.9180,216.2779
Female,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted Rates",60-64,266.9367,16.8626,234.9068,302.0223
Female,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted Rates",65-69,303.8382,21.1353,263.8233,348.0738
Female,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted Rates",70-74,347.7651,27.5156,295.9262,405.8768
Female,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted Rates",75-79,316.7259,31.6984,257.6552,384.9772
