"Breast Cancer"
"5-Year SEER Relative Survival Rates, 2009-2015"

Sex,Race/Ethnicity,Age,"Stage at Diagnosis","Relative Survival Rate (%)","Relative Survival Rate Standard Error","Relative Survival Rate Lower Confidence Interval","Relative Survival Rate Upper Confidence Interval"
Female,"All Races (includes Hispanic)","All Ages","All Stages",89.8850,0.0852,89.7167,90.0506
Female,"All Races (includes Hispanic)","All Ages",Localized,98.8294,0.0876,98.6445,98.9891
Female,"All Races (includes Hispanic)","All Ages",Regional,85.4952,0.1634,85.1717,85.8123
Female,"All Races (includes Hispanic)","All Ages",Distant,27.3940,0.4116,26.5901,28.2033
Female,"All Races (includes Hispanic)","All Ages",Unstaged,54.4831,0.9458,52.6094,56.3160
Female,"All Races (includes Hispanic)","Ages < 50","All Stages",89.6348,0.1382,89.3606,89.9024
Female,"All Races (includes Hispanic)","Ages < 50",Localized,97.0228,0.1179,96.7827,97.2453
Female,"All Races (includes Hispanic)","Ages < 50",Regional,86.9407,0.2457,86.4509,87.4142
Female,"All Races (includes Hispanic)","Ages < 50",Distant,37.0854,0.9410,35.2415,38.9287
Female,"All Races (includes Hispanic)","Ages < 50",Unstaged,75.1377,1.8031,71.3929,78.4679
Female,"All Races (includes Hispanic)","Ages 50-64","All Stages",90.4003,0.1126,90.1772,90.6187
Female,"All Races (includes Hispanic)","Ages 50-64",Localized,98.2819,0.0965,98.0820,98.4611
Female,"All Races (includes Hispanic)","Ages 50-64",Regional,87.3667,0.2257,86.9170,87.8020
Female,"All Races (includes Hispanic)","Ages 50-64",Distant,28.1476,0.6451,26.8897,29.4176
Female,"All Races (includes Hispanic)","Ages 50-64",Unstaged,66.8277,1.5487,63.6907,69.7608
Female,"All Races (includes Hispanic)","Ages 65+","All Stages",89.5605,0.1771,89.2079,89.9022
Female,"All Races (includes Hispanic)","Ages 65+",Localized,100.0000,0.0139,-,-
Female,"All Races (includes Hispanic)","Ages 65+",Regional,81.6155,0.3812,80.8547,82.3493
Female,"All Races (includes Hispanic)","Ages 65+",Distant,21.5764,0.6463,20.3229,22.8557
Female,"All Races (includes Hispanic)","Ages 65+",Unstaged,40.6384,1.3756,37.9345,43.3226
Female,"All Races (includes Hispanic)","Ages <15","All Stages",-,-,-,-
Female,"All Races (includes Hispanic)","Ages <15",Localized,-,-,-,-
Female,"All Races (includes Hispanic)","Ages <15",Regional,-,-,-,-
Female,"All Races (includes Hispanic)","Ages <15",Distant,-,-,-,-
Female,"All Races (includes Hispanic)","Ages <15",Unstaged,-,-,-,-
Female,"All Races (includes Hispanic)","Ages 15-39","All Stages",85.5160,0.3214,84.8735,86.1334
Female,"All Races (includes Hispanic)","Ages 15-39",Localized,94.9383,0.3125,94.2884,95.5160
Female,"All Races (includes Hispanic)","Ages 15-39",Regional,83.7571,0.5082,82.7331,84.7261
Female,"All Races (includes Hispanic)","Ages 15-39",Distant,39.8156,1.6661,36.5425,43.0658
Female,"All Races (includes Hispanic)","Ages 15-39",Unstaged,75.2258,3.2442,68.1752,80.9334
Female,"All Races (includes Hispanic)","Ages 40-64","All Stages",90.5556,0.0907,90.3763,90.7317
Female,"All Races (includes Hispanic)","Ages 40-64",Localized,98.0636,0.0773,97.9060,98.2095
Female,"All Races (includes Hispanic)","Ages 40-64",Regional,87.6369,0.1761,87.2872,87.9777
Female,"All Races (includes Hispanic)","Ages 40-64",Distant,30.1404,0.5625,29.0416,31.2460
Female,"All Races (includes Hispanic)","Ages 40-64",Unstaged,69.4683,1.2639,66.9139,71.8687
Female,"All Races (includes Hispanic)","Ages 65-74","All Stages",91.9033,0.1782,91.5467,92.2454
Female,"All Races (includes Hispanic)","Ages 65-74",Localized,99.7605,0.1729,99.0165,99.9418
Female,"All Races (includes Hispanic)","Ages 65-74",Regional,86.7389,0.4003,85.9328,87.5024
Female,"All Races (includes Hispanic)","Ages 65-74",Distant,24.6389,0.9055,22.8835,26.4310
Female,"All Races (includes Hispanic)","Ages 65-74",Unstaged,57.7561,2.1266,53.4691,61.7969
Female,"All Races (includes Hispanic)","Ages 75+","All Stages",86.2513,0.3481,85.5533,86.9182
Female,"All Races (includes Hispanic)","Ages 75+",Localized,100.0000,0.0295,-,-
Female,"All Races (includes Hispanic)","Ages 75+",Regional,74.2151,0.7220,72.7681,75.5986
Female,"All Races (includes Hispanic)","Ages 75+",Distant,18.3456,0.9300,16.5612,20.2043
Female,"All Races (includes Hispanic)","Ages 75+",Unstaged,31.4893,1.7278,28.1331,34.8947
Female,"All Races (includes Hispanic)","Ages < 20","All Stages",87.3095,5.9836,69.4097,95.0812
Female,"All Races (includes Hispanic)","Ages < 20",Localized,-,-,-,-
Female,"All Races (includes Hispanic)","Ages < 20",Regional,-,-,-,-
Female,"All Races (includes Hispanic)","Ages < 20",Distant,-,-,-,-
Female,"All Races (includes Hispanic)","Ages < 20",Unstaged,-,-,-,-
Female,"American Indian / Alaska Native (includes Hispanic)","All Ages","All Stages",88.2510,1.2919,85.4502,90.5427
Female,"American Indian / Alaska Native (includes Hispanic)","All Ages",Localized,96.5372,1.3842,92.4749,98.4250
Female,"American Indian / Alaska Native (includes Hispanic)","All Ages",Regional,85.5343,2.2790,80.3915,89.4168
Female,"American Indian / Alaska Native (includes Hispanic)","All Ages",Distant,31.7495,6.1004,20.3305,43.7680
Female,"American Indian / Alaska Native (includes Hispanic)","All Ages",Unstaged,55.7645,12.3361,29.3165,75.7308
Female,"American Indian / Alaska Native (includes Hispanic)","Ages < 50","All Stages",87.8108,2.1419,82.8805,91.3946
Female,"American Indian / Alaska Native (includes Hispanic)","Ages < 50",Localized,98.6023,1.7234,85.1744,99.8766
Female,"American Indian / Alaska Native (includes Hispanic)","Ages < 50",Regional,84.6183,3.3797,76.5763,90.0753
Female,"American Indian / Alaska Native (includes Hispanic)","Ages < 50",Distant,40.9089,11.5238,19.0572,61.7586
Female,"American Indian / Alaska Native (includes Hispanic)","Ages < 50",Unstaged,-,-,-,-
Female,"American Indian / Alaska Native (includes Hispanic)","Ages 50-64","All Stages",89.1900,1.6818,85.3826,92.0518
Female,"American Indian / Alaska Native (includes Hispanic)","Ages 50-64",Localized,96.8767,1.6896,91.1027,98.9253
Female,"American Indian / Alaska Native (includes Hispanic)","Ages 50-64",Regional,87.9706,3.0182,80.5262,92.6961
Female,"American Indian / Alaska Native (includes Hispanic)","Ages 50-64",Distant,23.9944,7.4795,11.1927,39.4424
Female,"American Indian / Alaska Native (includes Hispanic)","Ages 50-64",Unstaged,-,-,-,-
Female,"American Indian / Alaska Native (includes Hispanic)","Ages 65+","All Stages",87.0795,3.0286,79.7366,91.8948
Female,"American Indian / Alaska Native (includes Hispanic)","Ages 65+",Localized,93.9569,3.0558,84.0867,97.7831
Female,"American Indian / Alaska Native (includes Hispanic)","Ages 65+",Regional,82.3460,5.9851,66.7354,91.0930
Female,"American Indian / Alaska Native (includes Hispanic)","Ages 65+",Distant,40.3737,12.3685,17.2327,62.6354
Female,"American Indian / Alaska Native (includes Hispanic)","Ages 65+",Unstaged,-,-,-,-
Female,"American Indian / Alaska Native (includes Hispanic)","Ages <15","All Stages",-,-,-,-
Female,"American Indian / Alaska Native (includes Hispanic)","Ages <15",Localized,-,-,-,-
Female,"American Indian / Alaska Native (includes Hispanic)","Ages <15",Regional,-,-,-,-
Female,"American Indian / Alaska Native (includes Hispanic)","Ages <15",Distant,-,-,-,-
Female,"American Indian / Alaska Native (includes Hispanic)","Ages <15",Unstaged,-,-,-,-
Female,"American Indian / Alaska Native (includes Hispanic)","Ages 15-39","All Stages",85.3950,4.1445,74.9461,91.7198
Female,"American Indian / Alaska Native (includes Hispanic)","Ages 15-39",Localized,94.8140,4.2211,76.0240,98.9708
Female,"American Indian / Alaska Native (includes Hispanic)","Ages 15-39",Regional,79.2661,6.5597,62.6879,89.0820
Female,"American Indian / Alaska Native (includes Hispanic)","Ages 15-39",Distant,-,-,-,-
Female,"American Indian / Alaska Native (includes Hispanic)","Ages 15-39",Unstaged,-,-,-,-
Female,"American Indian / Alaska Native (includes Hispanic)","Ages 40-64","All Stages",89.0533,1.3994,85.9664,91.4949
Female,"American Indian / Alaska Native (includes Hispanic)","Ages 40-64",Localized,97.6687,1.3477,92.8452,99.2532
Female,"American Indian / Alaska Native (includes Hispanic)","Ages 40-64",Regional,87.6142,2.3946,82.0147,91.5594
Female,"American Indian / Alaska Native (includes Hispanic)","Ages 40-64",Distant,27.5428,6.5225,15.7534,40.6717
Female,"American Indian / Alaska Native (includes Hispanic)","Ages 40-64",Unstaged,-,-,-,-
Female,"American Indian / Alaska Native (includes Hispanic)","Ages 65-74","All Stages",91.7418,3.0117,83.3742,95.9967
Female,"American Indian / Alaska Native (includes Hispanic)","Ages 65-74",Localized,97.6945,2.8972,75.4364,99.8072
Female,"American Indian / Alaska Native (includes Hispanic)","Ages 65-74",Regional,86.0029,5.9864,68.8906,94.0809
Female,"American Indian / Alaska Native (includes Hispanic)","Ages 65-74",Distant,-,-,-,-
Female,"American Indian / Alaska Native (includes Hispanic)","Ages 65-74",Unstaged,-,-,-,-
Female,"American Indian / Alaska Native (includes Hispanic)","Ages 75+","All Stages",75.0775,6.8057,58.6981,85.7075
Female,"American Indian / Alaska Native (includes Hispanic)","Ages 75+",Localized,82.9019,8.5189,57.7581,93.7953
Female,"American Indian / Alaska Native (includes Hispanic)","Ages 75+",Regional,70.8413,13.8576,35.0531,89.2828
Female,"American Indian / Alaska Native (includes Hispanic)","Ages 75+",Distant,-,-,-,-
Female,"American Indian / Alaska Native (includes Hispanic)","Ages 75+",Unstaged,-,-,-,-
Female,"American Indian / Alaska Native (includes Hispanic)","Ages < 20","All Stages",-,-,-,-
Female,"American Indian / Alaska Native (includes Hispanic)","Ages < 20",Localized,-,-,-,-
Female,"American Indian / Alaska Native (includes Hispanic)","Ages < 20",Regional,-,-,-,-
Female,"American Indian / Alaska Native (includes Hispanic)","Ages < 20",Distant,-,-,-,-
Female,"American Indian / Alaska Native (includes Hispanic)","Ages < 20",Unstaged,-,-,-,-
Female,"Asian / Pacific Islander (includes Hispanic)","All Ages","All Stages",91.4146,0.2425,90.9266,91.8776
Female,"Asian / Pacific Islander (includes Hispanic)","All Ages",Localized,98.5200,0.2192,98.0222,98.8932
Female,"Asian / Pacific Islander (includes Hispanic)","All Ages",Regional,87.6206,0.4915,86.6217,88.5499
Female,"Asian / Pacific Islander (includes Hispanic)","All Ages",Distant,31.2074,1.6249,28.0503,34.4107
Female,"Asian / Pacific Islander (includes Hispanic)","All Ages",Unstaged,57.4902,3.1771,51.0078,63.4333
Female,"Asian / Pacific Islander (includes Hispanic)","Ages < 50","All Stages",92.0892,0.3652,91.3416,92.7748
Female,"Asian / Pacific Islander (includes Hispanic)","Ages < 50",Localized,97.6381,0.2964,96.9807,98.1537
Female,"Asian / Pacific Islander (includes Hispanic)","Ages < 50",Regional,90.3172,0.6718,88.9127,91.5523
Female,"Asian / Pacific Islander (includes Hispanic)","Ages < 50",Distant,34.9477,3.1544,28.8234,41.1275
Female,"Asian / Pacific Islander (includes Hispanic)","Ages < 50",Unstaged,78.9257,5.0613,66.8640,87.0097
Female,"Asian / Pacific Islander (includes Hispanic)","Ages 50-64","All Stages",91.7181,0.3425,91.0202,92.3641
Female,"Asian / Pacific Islander (includes Hispanic)","Ages 50-64",Localized,98.7302,0.2556,98.1171,99.1445
Female,"Asian / Pacific Islander (includes Hispanic)","Ages 50-64",Regional,88.6128,0.7253,87.1055,89.9541
Female,"Asian / Pacific Islander (includes Hispanic)","Ages 50-64",Distant,32.9072,2.4028,28.2462,37.6364
Female,"Asian / Pacific Islander (includes Hispanic)","Ages 50-64",Unstaged,58.1077,4.9933,47.6949,67.1615
Female,"Asian / Pacific Islander (includes Hispanic)","Ages 65+","All Stages",90.2689,0.5821,89.0628,91.3486
Female,"Asian / Pacific Islander (includes Hispanic)","Ages 65+",Localized,99.0529,0.5721,96.9219,99.7108
Female,"Asian / Pacific Islander (includes Hispanic)","Ages 65+",Regional,81.3792,1.3599,78.5409,83.8812
Female,"Asian / Pacific Islander (includes Hispanic)","Ages 65+",Distant,24.5689,3.1436,18.6697,30.9118
Female,"Asian / Pacific Islander (includes Hispanic)","Ages 65+",Unstaged,41.3367,5.6676,30.1949,52.1150
Female,"Asian / Pacific Islander (includes Hispanic)","Ages <15","All Stages",-,-,-,-
Female,"Asian / Pacific Islander (includes Hispanic)","Ages <15",Localized,-,-,-,-
Female,"Asian / Pacific Islander (includes Hispanic)","Ages <15",Regional,-,-,-,-
Female,"Asian / Pacific Islander (includes Hispanic)","Ages <15",Distant,-,-,-,-
Female,"Asian / Pacific Islander (includes Hispanic)","Ages <15",Unstaged,-,-,-,-
Female,"Asian / Pacific Islander (includes Hispanic)","Ages 15-39","All Stages",88.7967,0.8525,87.0046,90.3555
Female,"Asian / Pacific Islander (includes Hispanic)","Ages 15-39",Localized,95.2377,0.8424,93.2758,96.6374
Female,"Asian / Pacific Islander (includes Hispanic)","Ages 15-39",Regional,88.7899,1.3376,85.8632,91.1420
Female,"Asian / Pacific Islander (includes Hispanic)","Ages 15-39",Distant,37.6406,5.4637,27.0541,48.1783
Female,"Asian / Pacific Islander (includes Hispanic)","Ages 15-39",Unstaged,78.3460,9.7222,51.6264,91.3861
Female,"Asian / Pacific Islander (includes Hispanic)","Ages 40-64","All Stages",92.2606,0.2606,91.7333,92.7556
Female,"Asian / Pacific Islander (includes Hispanic)","Ages 40-64",Localized,98.5807,0.1952,98.1420,98.9164
Female,"Asian / Pacific Islander (includes Hispanic)","Ages 40-64",Regional,89.5409,0.5341,88.4434,90.5398
Female,"Asian / Pacific Islander (includes Hispanic)","Ages 40-64",Distant,32.9905,2.0358,29.0330,36.9957
Female,"Asian / Pacific Islander (includes Hispanic)","Ages 40-64",Unstaged,65.2313,3.9279,56.9405,72.3171
Female,"Asian / Pacific Islander (includes Hispanic)","Ages 65-74","All Stages",93.2513,0.5662,92.0493,94.2773
