"Lung and Bronchus Cancer"
"SEER Incidence Rates by Age at Diagnosis, 2012-2016"

Sex,Race/Ethnicity,Age,"Rate per 100,000","Rate Standard Error","Rate Lower Confidence Interval","Rate Upper Confidence Interval"
"Both Sexes","All Races (includes Hispanic)",<1,-,-,-,-
"Both Sexes","All Races (includes Hispanic)",1-4,0.0747,0.0159,0.0468,0.1131
"Both Sexes","All Races (includes Hispanic)",5-9,-,-,-,-
"Both Sexes","All Races (includes Hispanic)",10-14,0.0557,0.0121,0.0345,0.0851
"Both Sexes","All Races (includes Hispanic)",15-19,0.1280,0.0181,0.0950,0.1688
"Both Sexes","All Races (includes Hispanic)",20-24,0.3150,0.0273,0.2637,0.3733
"Both Sexes","All Races (includes Hispanic)",25-29,0.5812,0.0372,0.5105,0.6589
"Both Sexes","All Races (includes Hispanic)",30-34,1.1579,0.0535,1.0553,1.2677
"Both Sexes","All Races (includes Hispanic)",35-39,2.6546,0.0841,2.4923,2.8246
"Both Sexes","All Races (includes Hispanic)",40-44,6.5531,0.1310,6.2988,6.8150
"Both Sexes","All Races (includes Hispanic)",45-49,17.8469,0.2127,17.4325,18.2687
"Both Sexes","All Races (includes Hispanic)",50-54,44.1574,0.3279,43.5170,44.8049
"Both Sexes","All Races (includes Hispanic)",55-59,84.9868,0.4680,84.0719,85.9092
"Both Sexes","All Races (includes Hispanic)",60-64,134.8691,0.6383,133.6210,136.1259
"Both Sexes","All Races (includes Hispanic)",65-69,220.0565,0.9051,218.2860,221.8377
"Both Sexes","All Races (includes Hispanic)",70-74,323.6426,1.3074,321.0852,326.2153
"Both Sexes","All Races (includes Hispanic)",75-79,395.1448,1.7028,391.8144,398.4964
"Both Sexes","All Races (includes Hispanic)",80-84,408.3487,2.0071,404.4243,412.3018
"Both Sexes","All Races (includes Hispanic)",85+,308.1761,1.6616,304.9280,311.4502
"Both Sexes","All Races (includes Hispanic)",<1,-,-,-,-
