"Prostate Cancer"
"SEER Incidence Rates by Age at Diagnosis, 2012-2016"

Sex,Race/Ethnicity,"Rate Type",Age,"Rate per 100,000","Rate Standard Error","Rate Lower Confidence Interval","Rate Upper Confidence Interval"
Male,"All Races (includes Hispanic)","Observed Rates",<1,-,-,-,-
Male,"All Races (includes Hispanic)","Observed Rates",1-4,-,-,-,-
Male,"All Races (includes Hispanic)","Observed Rates",5-9,-,-,-,-
Male,"All Races (includes Hispanic)","Observed Rates",10-14,-,-,-,-
Male,"All Races (includes Hispanic)","Observed Rates",15-19,-,-,-,-
Male,"All Races (includes Hispanic)","Observed Rates",20-24,-,-,-,-
Male,"All Races (includes Hispanic)","Observed Rates",25-29,-,-,-,-
Male,"All Races (includes Hispanic)","Observed Rates",30-34,0.0936,0.0215,0.0563,0.1461
Male,"All Races (includes Hispanic)","Observed Rates",35-39,0.6202,0.0576,0.5124,0.7438
Male,"All Races (includes Hispanic)","Observed Rates",40-44,7.8093,0.2033,7.4159,8.2181
Male,"All Races (includes Hispanic)","Observed Rates",45-49,33.9570,0.4174,33.1437,34.7851
Male,"All Races (includes Hispanic)","Observed Rates",50-54,115.9978,0.7590,114.5149,117.4951
Male,"All Races (includes Hispanic)","Observed Rates",55-59,248.5504,1.1491,246.3032,250.8130
Male,"All Races (includes Hispanic)","Observed Rates",60-64,417.5921,1.6258,414.4116,420.7910
Male,"All Races (includes Hispanic)","Observed Rates",65-69,627.7764,2.2317,623.4098,632.1659
Male,"All Races (includes Hispanic)","Observed Rates",70-74,652.0143,2.7490,646.6373,657.4249
Male,"All Races (includes Hispanic)","Observed Rates",75-79,567.3583,3.0860,561.3258,573.4395
Male,"All Races (includes Hispanic)","Observed Rates",80-84,425.2739,3.2038,419.0175,431.6004
Male,"All Races (includes Hispanic)","Observed Rates",85+,366.9878,3.1058,360.9254,373.1265
Male,"All Races (includes Hispanic)","Delay-adjusted Rates",<1,-,-,-,-
Male,"All Races (includes Hispanic)","Delay-adjusted Rates",1-4,-,-,-,-
Male,"All Races (includes Hispanic)","Delay-adjusted Rates",5-9,-,-,-,-
Male,"All Races (includes Hispanic)","Delay-adjusted Rates",10-14,-,-,-,-
Male,"All Races (includes Hispanic)","Delay-adjusted Rates",15-19,-,-,-,-
Male,"All Races (includes Hispanic)","Delay-adjusted Rates",20-24,-,-,-,-
Male,"All Races (includes Hispanic)","Delay-adjusted Rates",25-29,-,-,-,-
Male,"All Races (includes Hispanic)","Delay-adjusted Rates",30-34,0.0947,0.0217,0.0570,0.1479
Male,"All Races (includes Hispanic)","Delay-adjusted Rates",35-39,0.6282,0.0583,0.5191,0.7534
Male,"All Races (includes Hispanic)","Delay-adjusted Rates",40-44,7.9138,0.2060,7.5151,8.3280
Male,"All Races (includes Hispanic)","Delay-adjusted Rates",45-49,34.4199,0.4231,33.5955,35.2594
Male,"All Races (includes Hispanic)","Delay-adjusted Rates",50-54,117.8936,0.7715,116.3864,119.4154
Male,"All Races (includes Hispanic)","Delay-adjusted Rates",55-59,252.7834,1.1688,250.4977,255.0847
Male,"All Races (includes Hispanic)","Delay-adjusted Rates",60-64,424.7379,1.6538,421.5027,427.9917
Male,"All Races (includes Hispanic)","Delay-adjusted Rates",65-69,641.8247,2.2819,637.3599,646.3128
Male,"All Races (includes Hispanic)","Delay-adjusted Rates",70-74,666.5942,2.8108,661.0962,672.1262
Male,"All Races (includes Hispanic)","Delay-adjusted Rates",75-79,580.1069,3.1557,573.9380,586.3251
Male,"All Races (includes Hispanic)","Delay-adjusted Rates",80-84,434.7546,3.2756,428.3579,441.2224
Male,"All Races (includes Hispanic)","Delay-adjusted Rates",85+,375.0544,3.1745,368.8580,381.3282
Male,"American Indian / Alaska Native (includes Hispanic)","Observed Rates",<1,-,-,-,-
Male,"American Indian / Alaska Native (includes Hispanic)","Observed Rates",1-4,-,-,-,-
Male,"American Indian / Alaska Native (includes Hispanic)","Observed Rates",5-9,-,-,-,-
Male,"American Indian / Alaska Native (includes Hispanic)","Observed Rates",10-14,-,-,-,-
Male,"American Indian / Alaska Native (includes Hispanic)","Observed Rates",15-19,-,-,-,-
Male,"American Indian / Alaska Native (includes Hispanic)","Observed Rates",20-24,-,-,-,-
Male,"American Indian / Alaska Native (includes Hispanic)","Observed Rates",25-29,-,-,-,-
Male,"American Indian / Alaska Native (includes Hispanic)","Observed Rates",30-34,-,-,-,-
Male,"American Indian / Alaska Native (includes Hispanic)","Observed Rates",35-39,-,-,-,-
Male,"American Indian / Alaska Native (includes Hispanic)","Observed Rates",40-44,-,-,-,-
Male,"American Indian / Alaska Native (includes Hispanic)","Observed Rates",45-49,-,-,-,-
Male,"American Indian / Alaska Native (includes Hispanic)","Observed Rates",50-54,49.1962,5.9659,38.2028,62.3679
Male,"American Indian / Alaska Native (includes Hispanic)","Observed Rates",55-59,81.4647,8.2715,66.0624,99.3800
Male,"American Indian / Alaska Native (includes Hispanic)","Observed Rates",60-64,167.9057,13.6190,142.2742,196.8211
Male,"American Indian / Alaska Native (includes Hispanic)","Observed Rates",65-69,331.2086,22.7475,288.1220,378.9211
Male,"American Indian / Alaska Native (includes Hispanic)","Observed Rates",70-74,321.1757,27.9548,268.7251,380.8734
Male,"American Indian / Alaska Native (includes Hispanic)","Observed Rates",75-79,281.2560,32.9185,220.4598,353.6372
Male,"American Indian / Alaska Native (includes Hispanic)","Observed Rates",80-84,437.1440,53.8087,338.0871,556.1543
Male,"American Indian / Alaska Native (includes Hispanic)","Observed Rates",85+,259.4482,47.3686,175.0486,370.3785
Male,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted Rates",<1,-,-,-,-
Male,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted Rates",1-4,-,-,-,-
Male,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted Rates",5-9,-,-,-,-
Male,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted Rates",10-14,-,-,-,-
Male,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted Rates",15-19,-,-,-,-
Male,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted Rates",20-24,-,-,-,-
Male,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted Rates",25-29,-,-,-,-
Male,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted Rates",30-34,-,-,-,-
Male,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted Rates",35-39,-,-,-,-
Male,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted Rates",40-44,-,-,-,-
Male,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted Rates",45-49,-,-,-,-
Male,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted Rates",50-54,54.4849,6.6147,42.2969,68.9924
Male,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted Rates",55-59,91.4836,9.3027,74.1624,111.5085
Male,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted Rates",60-64,187.8973,15.2590,159.1806,220.1426
Male,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted Rates",65-69,371.6928,25.5604,323.2805,425.0888
Male,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted Rates",70-74,357.1195,31.1256,298.7232,423.2696
Male,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted Rates",75-79,314.0585,36.8141,246.0743,394.4515
Male,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted Rates",80-84,490.2893,60.4673,378.9887,623.0242
Male,"American Indian / Alaska Native (includes Hispanic)","Delay-adjusted Rates",85+,289.2717,52.9100,195.0162,411.8176
Male,"Asian / Pacific Islander (includes Hispanic)","Observed Rates",<1,-,-,-,-
Male,"Asian / Pacific Islander (includes Hispanic)","Observed Rates",1-4,-,-,-,-
Male,"Asian / Pacific Islander (includes Hispanic)","Observed Rates",5-9,-,-,-,-
Male,"Asian / Pacific Islander (includes Hispanic)","Observed Rates",10-14,-,-,-,-
Male,"Asian / Pacific Islander (includes Hispanic)","Observed Rates",15-19,-,-,-,-
Male,"Asian / Pacific Islander (includes Hispanic)","Observed Rates",20-24,-,-,-,-
Male,"Asian / Pacific Islander (includes Hispanic)","Observed Rates",25-29,-,-,-,-
Male,"Asian / Pacific Islander (includes Hispanic)","Observed Rates",30-34,-,-,-,-
Male,"Asian / Pacific Islander (includes Hispanic)","Observed Rates",35-39,-,-,-,-
Male,"Asian / Pacific Islander (includes Hispanic)","Observed Rates",40-44,1.5675,0.2688,1.0855,2.1904
Male,"Asian / Pacific Islander (includes Hispanic)","Observed Rates",45-49,8.6206,0.6612,7.3734,10.0183
Male,"Asian / Pacific Islander (includes Hispanic)","Observed Rates",50-54,37.0233,1.4105,34.3101,39.8941
Male,"Asian / Pacific Islander (includes Hispanic)","Observed Rates",55-59,97.1940,2.4074,92.5323,102.0296
Male,"Asian / Pacific Islander (includes Hispanic)","Observed Rates",60-64,187.0882,3.6635,179.9761,194.4093
Male,"Asian / Pacific Islander (includes Hispanic)","Observed Rates",65-69,337.3167,5.5987,326.4318,348.4721
Male,"Asian / Pacific Islander (includes Hispanic)","Observed Rates",70-74,355.7507,6.9212,342.3134,369.5802
Male,"Asian / Pacific Islander (includes Hispanic)","Observed Rates",75-79,348.8765,8.1134,333.1540,365.1494
Male,"Asian / Pacific Islander (includes Hispanic)","Observed Rates",80-84,264.6326,8.7725,247.7159,282.4003
Male,"Asian / Pacific Islander (includes Hispanic)","Observed Rates",85+,228.7498,8.6152,212.1737,246.2769
Male,"Asian / Pacific Islander (includes Hispanic)","Delay-adjusted Rates",<1,-,-,-,-
Male,"Asian / Pacific Islander (includes Hispanic)","Delay-adjusted Rates",1-4,-,-,-,-
Male,"Asian / Pacific Islander (includes Hispanic)","Delay-adjusted Rates",5-9,-,-,-,-
Male,"Asian / Pacific Islander (includes Hispanic)","Delay-adjusted Rates",10-14,-,-,-,-
Male,"Asian / Pacific Islander (includes Hispanic)","Delay-adjusted Rates",15-19,-,-,-,-
Male,"Asian / Pacific Islander (includes Hispanic)","Delay-adjusted Rates",20-24,-,-,-,-
Male,"Asian / Pacific Islander (includes Hispanic)","Delay-adjusted Rates",25-29,-,-,-,-
Male,"Asian / Pacific Islander (includes Hispanic)","Delay-adjusted Rates",30-34,-,-,-,-
Male,"Asian / Pacific Islander (includes Hispanic)","Delay-adjusted Rates",35-39,-,-,-,-
Male,"Asian / Pacific Islander (includes Hispanic)","Delay-adjusted Rates",40-44,1.6609,0.2850,1.1499,2.3176
Male,"Asian / Pacific Islander (includes Hispanic)","Delay-adjusted Rates",45-49,9.0344,0.6932,7.7269,10.4969
Male,"Asian / Pacific Islander (includes Hispanic)","Delay-adjusted Rates",50-54,38.8622,1.4812,36.0129,41.8740
Male,"Asian / Pacific Islander (includes Hispanic)","Delay-adjusted Rates",55-59,102.0469,2.5286,97.1507,107.1229
Male,"Asian / Pacific Islander (includes Hispanic)","Delay-adjusted Rates",60-64,196.6418,3.8522,189.1634,204.3363
Male,"Asian / Pacific Islander (includes Hispanic)","Delay-adjusted Rates",65-69,359.0591,5.9630,347.4659,370.9341
Male,"Asian / Pacific Islander (includes Hispanic)","Delay-adjusted Rates",70-74,378.3405,7.3648,364.0419,393.0477
Male,"Asian / Pacific Islander (includes Hispanic)","Delay-adjusted Rates",75-79,370.9869,8.6328,354.2580,388.2890
Male,"Asian / Pacific Islander (includes Hispanic)","Delay-adjusted Rates",80-84,280.7619,9.3123,262.8044,299.6042
Male,"Asian / Pacific Islander (includes Hispanic)","Delay-adjusted Rates",85+,242.3385,9.1324,224.7676,260.8970
Male,"Black (includes Hispanic)","Observed Rates",<1,-,-,-,-
Male,"Black (includes Hispanic)","Observed Rates",1-4,-,-,-,-
Male,"Black (includes Hispanic)","Observed Rates",5-9,-,-,-,-
Male,"Black (includes Hispanic)","Observed Rates",10-14,-,-,-,-
Male,"Black (includes Hispanic)","Observed Rates",15-19,-,-,-,-
Male,"Black (includes Hispanic)","Observed Rates",20-24,-,-,-,-
Male,"Black (includes Hispanic)","Observed Rates",25-29,-,-,-,-
Male,"Black (includes Hispanic)","Observed Rates",30-34,-,-,-,-
Male,"Black (includes Hispanic)","Observed Rates",35-39,1.5513,0.2550,1.0923,2.1383
Male,"Black (includes Hispanic)","Observed Rates",40-44,19.0132,0.8973,17.2949,20.8559
Male,"Black (includes Hispanic)","Observed Rates",45-49,82.9869,1.8506,79.3991,86.6950
Male,"Black (includes Hispanic)","Observed Rates",50-54,229.0176,3.0659,223.0476,235.1069
Male,"Black (includes Hispanic)","Observed Rates",55-59,459.1591,4.6178,450.1526,468.3006
Male,"Black (includes Hispanic)","Observed Rates",60-64,720.8285,6.6098,707.9311,733.9019
Male,"Black (includes Hispanic)","Observed Rates",65-69,1017.3292,9.2846,999.2121,1035.6922
Male,"Black (includes Hispanic)","Observed Rates",70-74,961.7648,11.1524,940.0291,983.8762
Male,"Black (includes Hispanic)","Observed Rates",75-79,798.2806,12.4945,773.9776,823.1527
Male,"Black (includes Hispanic)","Observed Rates",80-84,547.1375,13.3727,521.2384,573.9903
Male,"Black (includes Hispanic)","Observed Rates",85+,494.5068,14.1172,467.2212,522.9701
Male,"Black (includes Hispanic)","Delay-adjusted Rates",<1,-,-,-,-
Male,"Black (includes Hispanic)","Delay-adjusted Rates",1-4,-,-,-,-
Male,"Black (includes Hispanic)","Delay-adjusted Rates",5-9,-,-,-,-
Male,"Black (includes Hispanic)","Delay-adjusted Rates",10-14,-,-,-,-
Male,"Black (includes Hispanic)","Delay-adjusted Rates",15-19,-,-,-,-
Male,"Black (includes Hispanic)","Delay-adjusted Rates",20-24,-,-,-,-
Male,"Black (includes Hispanic)","Delay-adjusted Rates",25-29,-,-,-,-
Male,"Black (includes Hispanic)","Delay-adjusted Rates",30-34,-,-,-,-
Male,"Black (includes Hispanic)","Delay-adjusted Rates",35-39,1.6115,0.2650,1.1345,2.2193
Male,"Black (includes Hispanic)","Delay-adjusted Rates",40-44,19.7828,0.9340,17.9943,21.6990
