"All Cancer Sites Combined"
"5-Year SEER Relative Survival Rates, 2009-2015"

Sex,Race/Ethnicity,Age,"Stage at Diagnosis","Relative Survival Rate (%)","Relative Survival Rate Standard Error","Relative Survival Rate Lower Confidence Interval","Relative Survival Rate Upper Confidence Interval"
"Both Sexes","All Races (includes Hispanic)","All Ages","All Stages",67.1372,0.0410,67.0567,67.2175
"Both Sexes","All Races (includes Hispanic)","Ages < 50","All Stages",80.6450,0.0761,80.4954,80.7936
"Both Sexes","All Races (includes Hispanic)","Ages 50-64","All Stages",70.8963,0.0611,70.7763,71.0158
"Both Sexes","All Races (includes Hispanic)","Ages 65+","All Stages",59.7305,0.0676,59.5979,59.8629
"Both Sexes","All Races (includes Hispanic)","Ages <15","All Stages",83.6343,0.3008,83.0352,84.2143
"Both Sexes","All Races (includes Hispanic)","Ages 15-39","All Stages",84.1761,0.1169,83.9456,84.4037
"Both Sexes","All Races (includes Hispanic)","Ages 40-64","All Stages",72.4380,0.0530,72.3339,72.5418
"Both Sexes","All Races (includes Hispanic)","Ages 65-74","All Stages",67.2249,0.0812,67.0654,67.3839
"Both Sexes","All Races (includes Hispanic)","Ages 75+","All Stages",50.6520,0.1130,50.4304,50.8731
"Both Sexes","All Races (includes Hispanic)","Ages < 20","All Stages",84.0848,0.2446,83.5988,84.5578
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","All Ages","All Stages",60.3715,0.6049,59.1745,61.5457
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Ages < 50","All Stages",74.7194,1.0583,72.5744,76.7244
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Ages 50-64","All Stages",61.9251,0.9169,60.0999,63.6936
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Ages 65+","All Stages",50.8711,1.0889,48.7162,52.9831
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Ages <15","All Stages",81.3621,3.3805,73.6303,87.0246
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Ages 15-39","All Stages",79.3343,1.5195,76.1661,82.1317
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Ages 40-64","All Stages",63.8455,0.7921,62.2700,65.3746
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Ages 65-74","All Stages",56.9739,1.3218,54.3386,59.5179
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Ages 75+","All Stages",41.5615,1.8596,37.8999,45.1790
"Both Sexes","American Indian / Alaska Native (includes Hispanic)","Ages < 20","All Stages",79.6045,2.8575,73.3070,84.5726
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","All Ages","All Stages",64.2598,0.1497,63.9655,64.5525
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Ages < 50","All Stages",79.3602,0.2632,78.8388,79.8705
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Ages 50-64","All Stages",69.3202,0.2375,68.8520,69.7830
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Ages 65+","All Stages",53.5846,0.2442,53.1046,54.0620
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Ages <15","All Stages",81.6148,1.1121,79.3184,83.6830
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Ages 15-39","All Stages",81.7802,0.4154,80.9497,82.5784
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Ages 40-64","All Stages",71.5323,0.1988,71.1405,71.9198
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Ages 65-74","All Stages",64.0124,0.3108,63.3997,64.6179
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Ages 75+","All Stages",42.0289,0.3725,41.2979,42.7580
"Both Sexes","Asian / Pacific Islander (includes Hispanic)","Ages < 20","All Stages",81.9353,0.9103,80.0715,83.6431
"Both Sexes","Black (includes Hispanic)","All Ages","All Stages",61.7782,0.1254,61.5320,62.0234
"Both Sexes","Black (includes Hispanic)","Ages < 50","All Stages",71.8166,0.2507,71.3217,72.3047
"Both Sexes","Black (includes Hispanic)","Ages 50-64","All Stages",64.0556,0.1809,63.6999,64.4088
"Both Sexes","Black (includes Hispanic)","Ages 65+","All Stages",54.8464,0.2233,54.4075,55.2829
"Both Sexes","Black (includes Hispanic)","Ages <15","All Stages",79.5397,0.9337,77.6378,81.2999
"Both Sexes","Black (includes Hispanic)","Ages 15-39","All Stages",73.5206,0.4318,72.6633,74.3560
"Both Sexes","Black (includes Hispanic)","Ages 40-64","All Stages",65.3267,0.1584,65.0153,65.6361
"Both Sexes","Black (includes Hispanic)","Ages 65-74","All Stages",61.9205,0.2677,61.3935,62.4428
"Both Sexes","Black (includes Hispanic)","Ages 75+","All Stages",43.2043,0.3890,42.4406,43.9655
"Both Sexes","Black (includes Hispanic)","Ages < 20","All Stages",79.2847,0.7993,77.6662,80.8009
"Both Sexes","Hispanic (any race)","All Ages","All Stages",65.5877,0.1197,65.3526,65.8217
"Both Sexes","Hispanic (any race)","Ages < 50","All Stages",77.8638,0.1880,77.4926,78.2298
"Both Sexes","Hispanic (any race)","Ages 50-64","All Stages",67.6231,0.1935,67.2423,68.0007
"Both Sexes","Hispanic (any race)","Ages 65+","All Stages",54.9040,0.2165,54.4786,55.3272
"Both Sexes","Hispanic (any race)","Ages <15","All Stages",82.3962,0.5655,81.2564,83.4738
"Both Sexes","Hispanic (any race)","Ages 15-39","All Stages",80.4627,0.2787,79.9097,81.0024
"Both Sexes","Hispanic (any race)","Ages 40-64","All Stages",69.6808,0.1601,69.3658,69.9933
"Both Sexes","Hispanic (any race)","Ages 65-74","All Stages",63.4767,0.2667,62.9514,63.9969
"Both Sexes","Hispanic (any race)","Ages 75+","All Stages",43.7374,0.3512,43.0480,44.4245
"Both Sexes","Hispanic (any race)","Ages < 20","All Stages",82.3687,0.4733,81.4191,83.2749
"Both Sexes","Non-Hispanic White","All Ages","All Stages",67.8758,0.0496,67.7784,67.9729
"Both Sexes","Non-Hispanic White","Ages < 50","All Stages",83.0465,0.0939,82.8617,83.2296
"Both Sexes","Non-Hispanic White","Ages 50-64","All Stages",72.3432,0.0728,72.2001,72.4856
"Both Sexes","Non-Hispanic White","Ages 65+","All Stages",60.7111,0.0794,60.5552,60.8665
"Both Sexes","Non-Hispanic White","Ages <15","All Stages",85.5208,0.4110,84.6946,86.3060
"Both Sexes","Non-Hispanic White","Ages 15-39","All Stages",87.4258,0.1407,87.1472,87.6988
"Both Sexes","Non-Hispanic White","Ages 40-64","All Stages",73.8949,0.0638,73.7696,74.0198
"Both Sexes","Non-Hispanic White","Ages 65-74","All Stages",68.0821,0.0950,67.8955,68.2679
"Both Sexes","Non-Hispanic White","Ages 75+","All Stages",52.1677,0.1325,51.9076,52.4271
"Both Sexes","Non-Hispanic White","Ages < 20","All Stages",86.3128,0.3247,85.6627,86.9357
"Both Sexes","White (includes Hispanic)","All Ages","All Stages",67.5181,0.0460,67.4279,67.6083
"Both Sexes","White (includes Hispanic)","Ages < 50","All Stages",81.8423,0.0847,81.6756,82.0077
"Both Sexes","White (includes Hispanic)","Ages 50-64","All Stages",71.6973,0.0684,71.5630,71.8311
"Both Sexes","White (includes Hispanic)","Ages 65+","All Stages",60.0382,0.0748,59.8914,60.1846
"Both Sexes","White (includes Hispanic)","Ages <15","All Stages",84.3487,0.3368,83.6759,84.9963
"Both Sexes","White (includes Hispanic)","Ages 15-39","All Stages",85.5929,0.1279,85.3401,85.8416
"Both Sexes","White (includes Hispanic)","Ages 40-64","All Stages",73.2620,0.0595,73.1452,73.3784
"Both Sexes","White (includes Hispanic)","Ages 65-74","All Stages",67.5239,0.0898,67.3476,67.6995
"Both Sexes","White (includes Hispanic)","Ages 75+","All Stages",51.2624,0.1246,51.0179,51.5062
"Both Sexes","White (includes Hispanic)","Ages < 20","All Stages",84.8642,0.2718,84.3229,85.3885
Female,"All Races (includes Hispanic)","All Ages","All Stages",67.9573,0.0573,67.8449,68.0695
Female,"All Races (includes Hispanic)","Ages < 50","All Stages",83.9704,0.0912,83.7907,84.1483
Female,"All Races (includes Hispanic)","Ages 50-64","All Stages",73.2741,0.0871,73.1029,73.4444
Female,"All Races (includes Hispanic)","Ages 65+","All Stages",56.7257,0.0980,56.5334,56.9175
Female,"All Races (includes Hispanic)","Ages <15","All Stages",84.0290,0.4367,83.1521,84.8644
Female,"All Races (includes Hispanic)","Ages 15-39","All Stages",86.5009,0.1420,86.2199,86.7767
Female,"All Races (includes Hispanic)","Ages 40-64","All Stages",75.7231,0.0719,75.5818,75.8637
Female,"All Races (includes Hispanic)","Ages 65-74","All Stages",64.8844,0.1229,64.6429,65.1248
Female,"All Races (includes Hispanic)","Ages 75+","All Stages",48.5797,0.1525,48.2804,48.8782
Female,"All Races (includes Hispanic)","Ages < 20","All Stages",85.3229,0.3446,84.6332,85.9842
Female,"American Indian / Alaska Native (includes Hispanic)","All Ages","All Stages",65.2579,0.8039,63.6569,66.8078
Female,"American Indian / Alaska Native (includes Hispanic)","Ages < 50","All Stages",78.3786,1.3029,75.6934,80.8056
Female,"American Indian / Alaska Native (includes Hispanic)","Ages 50-64","All Stages",68.5038,1.2104,66.0639,70.8088
Female,"American Indian / Alaska Native (includes Hispanic)","Ages 65+","All Stages",52.6180,1.5475,49.5384,55.6004
Female,"American Indian / Alaska Native (includes Hispanic)","Ages <15","All Stages",82.5136,5.1663,69.4924,90.3476
Female,"American Indian / Alaska Native (includes Hispanic)","Ages 15-39","All Stages",80.3824,1.9771,76.1612,83.9358
Female,"American Indian / Alaska Native (includes Hispanic)","Ages 40-64","All Stages",70.6519,1.0111,68.6177,72.5816
Female,"American Indian / Alaska Native (includes Hispanic)","Ages 65-74","All Stages",59.9139,1.9103,56.0612,63.5444
Female,"American Indian / Alaska Native (includes Hispanic)","Ages 75+","All Stages",42.7655,2.5031,37.8225,47.6099
Female,"American Indian / Alaska Native (includes Hispanic)","Ages < 20","All Stages",81.6655,4.1667,71.7598,88.3718
Female,"Asian / Pacific Islander (includes Hispanic)","All Ages","All Stages",68.9025,0.1942,68.5201,69.2813
Female,"Asian / Pacific Islander (includes Hispanic)","Ages < 50","All Stages",84.1180,0.2903,83.5398,84.6778
Female,"Asian / Pacific Islander (includes Hispanic)","Ages 50-64","All Stages",75.3563,0.3021,74.7584,75.9425
Female,"Asian / Pacific Islander (includes Hispanic)","Ages 65+","All Stages",53.0259,0.3518,52.3340,53.7127
Female,"Asian / Pacific Islander (includes Hispanic)","Ages <15","All Stages",81.2632,1.7062,77.6473,84.3540
Female,"Asian / Pacific Islander (includes Hispanic)","Ages 15-39","All Stages",85.3294,0.4713,84.3787,86.2271
Female,"Asian / Pacific Islander (includes Hispanic)","Ages 40-64","All Stages",77.9803,0.2390,77.5076,78.4444
Female,"Asian / Pacific Islander (includes Hispanic)","Ages 65-74","All Stages",65.1913,0.4584,64.2846,66.0815
Female,"Asian / Pacific Islander (includes Hispanic)","Ages 75+","All Stages",41.0001,0.5140,39.9912,42.0059
Female,"Asian / Pacific Islander (includes Hispanic)","Ages < 20","All Stages",83.6275,1.3024,80.8899,86.0073
Female,"Black (includes Hispanic)","All Ages","All Stages",59.7481,0.1787,59.3969,60.0974
Female,"Black (includes Hispanic)","Ages < 50","All Stages",74.4071,0.3151,73.7834,75.0187
Female,"Black (includes Hispanic)","Ages 50-64","All Stages",62.5112,0.2746,61.9704,63.0469
Female,"Black (includes Hispanic)","Ages 65+","All Stages",48.6451,0.3166,48.0231,49.2641
Female,"Black (includes Hispanic)","Ages <15","All Stages",79.0553,1.3470,76.2687,81.5552
Female,"Black (includes Hispanic)","Ages 15-39","All Stages",76.7427,0.5197,75.7051,77.7427
