"Lung and Bronchus Cancer"
"5-Year SEER Relative Survival Rates, 2009-2015"

Sex,Race/Ethnicity,Age,"Stage at Diagnosis","Relative Survival Rate (%)","Relative Survival Rate Standard Error","Relative Survival Rate Lower Confidence Interval","Relative Survival Rate Upper Confidence Interval"
"Both Sexes","All Races (includes Hispanic)","All Ages","All Stages",19.4044,0.0992,19.2104,19.5992
"Both Sexes","All Races (includes Hispanic)","All Ages",Localized,57.3982,0.3408,56.7271,58.0631
"Both Sexes","All Races (includes Hispanic)","All Ages",Regional,30.7737,0.2513,30.2818,31.2668
"Both Sexes","All Races (includes Hispanic)","All Ages",Distant,5.1957,0.0759,5.0485,5.3458
"Both Sexes","All Races (includes Hispanic)","All Ages",Unstaged,8.2032,0.3310,7.5698,8.8674
"Both Sexes","All Races (includes Hispanic)","Ages < 50","All Stages",27.2260,0.4716,26.3054,28.1538
"Both Sexes","All Races (includes Hispanic)","Ages < 50",Localized,82.5259,1.1413,80.1580,84.6388
"Both Sexes","All Races (includes Hispanic)","Ages < 50",Regional,44.9257,1.1742,42.6109,47.2111
"Both Sexes","All Races (includes Hispanic)","Ages < 50",Distant,9.2956,0.4131,8.5065,10.1255
"Both Sexes","All Races (includes Hispanic)","Ages < 50",Unstaged,32.3157,3.2903,25.9789,38.8022
"Both Sexes","All Races (includes Hispanic)","Ages 50-64","All Stages",21.0029,0.1729,20.6650,21.3428
"Both Sexes","All Races (includes Hispanic)","Ages 50-64",Localized,65.8346,0.5815,64.6811,66.9605
"Both Sexes","All Races (includes Hispanic)","Ages 50-64",Regional,35.2361,0.4405,34.3733,36.0998
"Both Sexes","All Races (includes Hispanic)","Ages 50-64",Distant,6.3094,0.1384,6.0418,6.5844
"Both Sexes","All Races (includes Hispanic)","Ages 50-64",Unstaged,14.9550,0.9540,13.1419,16.8787
"Both Sexes","All Races (includes Hispanic)","Ages 65+","All Stages",18.0688,0.1258,17.8229,18.3162
"Both Sexes","All Races (includes Hispanic)","Ages 65+",Localized,52.7144,0.4303,51.8673,53.5540
"Both Sexes","All Races (includes Hispanic)","Ages 65+",Regional,27.6184,0.3173,26.9981,28.2419
"Both Sexes","All Races (includes Hispanic)","Ages 65+",Distant,4.2538,0.0919,4.0762,4.4366
"Both Sexes","All Races (includes Hispanic)","Ages 65+",Unstaged,5.9765,0.3318,5.3488,6.6498
"Both Sexes","All Races (includes Hispanic)","Ages <15","All Stages",80.4557,6.3705,64.1508,89.8951
"Both Sexes","All Races (includes Hispanic)","Ages <15",Localized,100.0000,0.0000,-,-
"Both Sexes","All Races (includes Hispanic)","Ages <15",Regional,-,-,-,-
"Both Sexes","All Races (includes Hispanic)","Ages <15",Distant,-,-,-,-
"Both Sexes","All Races (includes Hispanic)","Ages <15",Unstaged,-,-,-,-
"Both Sexes","All Races (includes Hispanic)","Ages 15-39","All Stages",44.2686,1.2863,41.7329,46.7717
"Both Sexes","All Races (includes Hispanic)","Ages 15-39",Localized,94.9831,1.3110,91.6621,97.0028
"Both Sexes","All Races (includes Hispanic)","Ages 15-39",Regional,65.8270,2.7988,60.0282,70.9931
"Both Sexes","All Races (includes Hispanic)","Ages 15-39",Distant,14.7774,1.3655,12.2207,17.5648
"Both Sexes","All Races (includes Hispanic)","Ages 15-39",Unstaged,51.2254,7.0369,36.7723,63.9363
"Both Sexes","All Races (includes Hispanic)","Ages 40-64","All Stages",21.3061,0.1632,20.9871,21.6268
"Both Sexes","All Races (includes Hispanic)","Ages 40-64",Localized,66.9984,0.5447,65.9181,68.0533
"Both Sexes","All Races (includes Hispanic)","Ages 40-64",Regional,35.8553,0.4159,35.0404,36.6707
"Both Sexes","All Races (includes Hispanic)","Ages 40-64",Distant,6.5465,0.1318,6.2914,6.8082
"Both Sexes","All Races (includes Hispanic)","Ages 40-64",Unstaged,16.1445,0.9352,14.3598,18.0231
"Both Sexes","All Races (includes Hispanic)","Ages 65-74","All Stages",21.0439,0.1773,20.6975,21.3924
"Both Sexes","All Races (includes Hispanic)","Ages 65-74",Localized,59.5256,0.5519,58.4347,60.5982
"Both Sexes","All Races (includes Hispanic)","Ages 65-74",Regional,31.0955,0.4311,30.2522,31.9421
"Both Sexes","All Races (includes Hispanic)","Ages 65-74",Distant,5.1953,0.1352,4.9347,5.4648
"Both Sexes","All Races (includes Hispanic)","Ages 65-74",Unstaged,10.0289,0.6820,8.7429,11.4155
"Both Sexes","All Races (includes Hispanic)","Ages 75+","All Stages",14.9473,0.1796,14.5972,15.3013
"Both Sexes","All Races (includes Hispanic)","Ages 75+",Localized,45.3015,0.6678,43.9879,46.6052
"Both Sexes","All Races (includes Hispanic)","Ages 75+",Regional,23.6009,0.4705,22.6844,24.5284
"Both Sexes","All Races (includes Hispanic)","Ages 75+",Distant,3.2370,0.1242,3.0000,3.4871
