"Prostate Cancer"
"5-Year SEER Relative Survival Rates, 2009-2015"

Sex,Race/Ethnicity,Age,"Stage at Diagnosis","Relative Survival Rate (%)","Relative Survival Rate Standard Error","Relative Survival Rate Lower Confidence Interval","Relative Survival Rate Upper Confidence Interval"
Male,"All Races (includes Hispanic)","All Ages","All Stages",98.0335,0.0792,97.8720,98.1828
Male,"All Races (includes Hispanic)","All Ages",Localized,100.0000,0.0062,-,-
Male,"All Races (includes Hispanic)","All Ages",Regional,100.0000,0.0148,-,-
Male,"All Races (includes Hispanic)","All Ages",Distant,30.5429,0.5001,29.5653,31.5255
Male,"All Races (includes Hispanic)","All Ages",Unstaged,81.5894,0.5794,80.4224,82.6945
Male,"All Races (includes Hispanic)","Ages < 50","All Stages",96.9748,0.2596,96.4215,97.4436
Male,"All Races (includes Hispanic)","Ages < 50",Localized,99.8550,0.1447,98.9770,99.9795
Male,"All Races (includes Hispanic)","Ages < 50",Regional,98.4463,0.5600,96.8590,99.2347
Male,"All Races (includes Hispanic)","Ages < 50",Distant,28.1789,2.8788,22.6838,33.9123
Male,"All Races (includes Hispanic)","Ages < 50",Unstaged,93.6296,2.2115,87.5474,96.7946
Male,"All Races (includes Hispanic)","Ages 50-64","All Stages",98.5023,0.0865,98.3229,98.6626
Male,"All Races (includes Hispanic)","Ages 50-64",Localized,100.0000,0.0060,-,-
Male,"All Races (includes Hispanic)","Ages 50-64",Regional,99.7054,0.2066,98.8385,99.9255
Male,"All Races (includes Hispanic)","Ages 50-64",Distant,34.5117,0.8715,32.8067,36.2217
Male,"All Races (includes Hispanic)","Ages 50-64",Unstaged,90.8590,0.7712,89.2233,92.2573
Male,"All Races (includes Hispanic)","Ages 65+","All Stages",97.7254,0.1308,97.4542,97.9680
Male,"All Races (includes Hispanic)","Ages 65+",Localized,100.0000,0.0104,-,-
Male,"All Races (includes Hispanic)","Ages 65+",Regional,100.0000,0.0327,-,-
Male,"All Races (includes Hispanic)","Ages 65+",Distant,28.9746,0.6284,27.7483,30.2111
